municipio,uf,regiao,ano,meta,target
Santa Amélia,PR,Sul,2024,80.0,1
Cuité,PB,Nordeste,2024,55.49,1
Inaciolândia,GO,Centro-Oeste,2024,76.77,1
Virgínia,MG,Sudeste,2024,61.6,1
Silvianópolis,MG,Sudeste,2024,58.35,1
Assunção do Piauí,PI,Nordeste,2024,80.0,0
Governador Lindenberg,ES,Sudeste,2024,66.72,1
Salmourão,SP,Sudeste,2024,60.91,1
Taciba,SP,Sudeste,2024,79.94,0
Luiziânia,SP,Sudeste,2024,58.85,0
Chapada dos Guimarães,MT,Centro-Oeste,2024,52.97,1
Dois Irmãos do Tocantins,TO,Norte,2024,53.8,0
Altinópolis,SP,Sudeste,2024,70.36,0
Itapecerica da Serra,SP,Sudeste,2024,57.76,1
São João do Jaguaribe,CE,Nordeste,2024,79.85,1
Novo Horizonte,SP,Sudeste,2024,64.6,1
Coração de Jesus,MG,Sudeste,2024,67.95,1
Presidente Médici,MA,Nordeste,2024,76.15,0
Limeira,SP,Sudeste,2024,65.28,1
São Vicente Ferrer,MA,Nordeste,2024,64.17,1
Colniza,MT,Centro-Oeste,2024,47.78,1
Nova Tebas,PR,Sul,2024,80.0,1
Campinorte,GO,Centro-Oeste,2024,74.74,1
Iracemápolis,SP,Sudeste,2024,62.96,0
São Bento do Sul,SC,Sul,2024,74.17,1
Ribeirão Vermelho,MG,Sudeste,2024,48.75,1
Nova Santa Bárbara,PR,Sul,2024,80.0,0
Inhapim,MG,Sudeste,2024,70.4,1
São Luíz do Norte,GO,Centro-Oeste,2024,76.07,1
Lago dos Rodrigues,MA,Nordeste,2024,80.0,1
Urucânia,MG,Sudeste,2024,59.62,1
Rio do Oeste,SC,Sul,2024,80.0,0
Miraí,MG,Sudeste,2024,80.0,0
Solonópole,CE,Nordeste,2024,80.0,1
Barbosa,SP,Sudeste,2024,67.3,0
Central de Minas,MG,Sudeste,2024,72.65,1
Lagoa da Prata,MG,Sudeste,2024,73.73,1
Querência,MT,Centro-Oeste,2024,61.52,1
Serraria,PB,Nordeste,2024,80.0,0
Ferraz de Vasconcelos,SP,Sudeste,2024,57.23,1
Eliseu Martins,PI,Nordeste,2024,80.0,0
Paraí,RS,Sul,2024,80.0,0
Jaborá,SC,Sul,2024,74.82,1
Tambaú,SP,Sudeste,2024,53.01,1
Indaiatuba,SP,Sudeste,2024,62.07,1
Santa Maria de Jetibá,ES,Sudeste,2024,80.0,1
Boca da Mata,AL,Nordeste,2024,74.59,1
Catuti,MG,Sudeste,2024,64.35,1
Ipiaçu,MG,Sudeste,2024,75.9,1
Pimenteiras,PI,Nordeste,2024,63.73,0
Americana,SP,Sudeste,2024,62.11,1
Esperança,PB,Nordeste,2024,64.55,0
Lutécia,SP,Sudeste,2024,72.92,1
Lima Campos,MA,Nordeste,2024,80.0,1
Sardoá,MG,Sudeste,2024,51.34,1
Perdigão,MG,Sudeste,2024,80.0,1
Pedra Branca,PB,Nordeste,2024,80.0,0
Cutias,AP,Norte,2024,52.37,1
Cândido Mota,SP,Sudeste,2024,73.87,0
Serrinha dos Pintos,RN,Nordeste,2024,61.18,1
Frutuoso Gomes,RN,Nordeste,2024,27.09,1
Angélica,MS,Centro-Oeste,2024,80.0,1
Pedra Bonita,MG,Sudeste,2024,64.45,1
São Sebastião da Vargem Alegre,MG,Sudeste,2024,57.79,1
Quinze de Novembro,RS,Sul,2024,70.67,1
Jaraguá,GO,Centro-Oeste,2024,80.0,1
Patis,MG,Sudeste,2024,77.38,1
Dionísio,MG,Sudeste,2024,80.0,0
Japonvar,MG,Sudeste,2024,75.72,1
Albertina,MG,Sudeste,2024,71.23,1
São Domingos do Prata,MG,Sudeste,2024,70.8,1
Venda Nova do Imigrante,ES,Sudeste,2024,80.0,1
Serra do Salitre,MG,Sudeste,2024,63.21,1
Tapurah,MT,Centro-Oeste,2024,59.92,1
Sangão,SC,Sul,2024,70.98,0
Rio Pardo de Minas,MG,Sudeste,2024,74.39,1
Betânia do Piauí,PI,Nordeste,2024,48.5,1
Várzea,PB,Nordeste,2024,56.63,1
Pindoba,AL,Nordeste,2024,36.18,1
Curral de Cima,PB,Nordeste,2024,60.93,0
São Gonçalo do Pará,MG,Sudeste,2024,64.24,1
Piedade dos Gerais,MG,Sudeste,2024,73.21,1
Icó,CE,Nordeste,2024,80.0,0
Guarulhos,SP,Sudeste,2024,45.75,1
Boa Esperança,ES,Sudeste,2024,77.19,1
Ipê,RS,Sul,2024,80.0,0
Santa Bárbara d'Oeste,SP,Sudeste,2024,58.84,1
Pitangueiras,SP,Sudeste,2024,65.71,1
Mirim Doce,SC,Sul,2024,45.55,1
Goiatins,TO,Norte,2024,18.74,1
Piraju,SP,Sudeste,2024,67.22,1
Baliza,GO,Centro-Oeste,2024,66.86,1
Rio do Campo,SC,Sul,2024,69.94,1
Dom Viçoso,MG,Sudeste,2024,80.0,1
Atibaia,SP,Sudeste,2024,72.05,0
Água Boa,MT,Centro-Oeste,2024,62.56,1
Muriaé,MG,Sudeste,2024,62.06,1
Campos Belos,GO,Centro-Oeste,2024,67.62,1
Itirapina,SP,Sudeste,2024,62.57,1
Quirinópolis,GO,Centro-Oeste,2024,69.08,1
Motuca,SP,Sudeste,2024,79.94,0
Rio Novo do Sul,ES,Sudeste,2024,78.33,0
Ouro,SC,Sul,2024,73.74,1
Leme,SP,Sudeste,2024,57.33,1
Quinze de Novembro,RS,Sul,2024,70.67,1
Piracuruca,PI,Nordeste,2024,76.3,1
Farol,PR,Sul,2024,76.57,1
Santa Maria do Tocantins,TO,Norte,2024,31.78,1
Venda Nova do Imigrante,ES,Sudeste,2024,80.0,1
Passos,MG,Sudeste,2024,67.82,1
Pinhal Grande,RS,Sul,2024,66.33,0
Catuípe,RS,Sul,2024,80.0,0
Óleo,SP,Sudeste,2024,60.93,1
Conceição do Mato Dentro,MG,Sudeste,2024,62.26,0
Vargem Grande,MA,Nordeste,2024,80.0,1
Bugre,MG,Sudeste,2024,80.0,1
Fortuna de Minas,MG,Sudeste,2024,62.69,1
Turvo,SC,Sul,2024,62.69,1
Penaforte,CE,Nordeste,2024,78.04,0
Cláudio,MG,Sudeste,2024,64.18,1
Salto Veloso,SC,Sul,2024,80.0,0
São Roque do Canaã,ES,Sudeste,2024,75.39,1
José Bonifácio,SP,Sudeste,2024,59.8,0
Atibaia,SP,Sudeste,2024,72.05,0
Ouro Branco,RN,Nordeste,2024,46.85,1
Trindade do Sul,RS,Sul,2024,80.0,0
São João da Lagoa,MG,Sudeste,2024,54.91,1
Santa Maria do Suaçuí,MG,Sudeste,2024,64.62,1
Riachinho,TO,Norte,2024,28.46,1
Alterosa,MG,Sudeste,2024,64.6,1
Serranópolis de Minas,MG,Sudeste,2024,80.0,1
Itaúna,MG,Sudeste,2024,71.43,1
Três Pontas,MG,Sudeste,2024,64.27,1
Ribeirão do Sul,SP,Sudeste,2024,75.04,0
Casa Branca,SP,Sudeste,2024,50.63,1
Populina,SP,Sudeste,2024,78.22,1
Tarumirim,MG,Sudeste,2024,71.59,1
São José dos Campos,SP,Sudeste,2024,61.18,1
Sigefredo Pacheco,PI,Nordeste,2024,50.79,1
Três Lagoas,MS,Centro-Oeste,2024,71.48,1
Congonhal,MG,Sudeste,2024,74.47,1
São Mamede,PB,Nordeste,2024,44.17,1
São Joaquim de Bicas,MG,Sudeste,2024,53.39,1
Venda Nova do Imigrante,ES,Sudeste,2024,80.0,1
Araras,SP,Sudeste,2024,61.73,1
Ouro Verde de Goiás,GO,Centro-Oeste,2024,80.0,1
Santa Rita,PB,Nordeste,2024,47.0,1
Boituva,SP,Sudeste,2024,64.65,1
Capivari,SP,Sudeste,2024,67.01,0
Matias Barbosa,MG,Sudeste,2024,62.35,1
Rondinha,RS,Sul,2024,80.0,0
Milagres do Maranhão,MA,Nordeste,2024,80.0,1
Itaberaí,GO,Centro-Oeste,2024,79.11,1
São João do Oriente,MG,Sudeste,2024,80.0,0
Brazabrantes,GO,Centro-Oeste,2024,54.03,1
Ipê,RS,Sul,2024,80.0,0
Santana do Riacho,MG,Sudeste,2024,64.05,1
Pombal,PB,Nordeste,2024,62.19,1
Estiva,MG,Sudeste,2024,73.63,1
Senador Modestino Gonçalves,MG,Sudeste,2024,76.11,1
Ipuaçu,SC,Sul,2024,62.89,1
Três Pontas,MG,Sudeste,2024,64.27,1
Fagundes Varela,RS,Sul,2024,80.0,0
Guanhães,MG,Sudeste,2024,61.34,1
Brasnorte,MT,Centro-Oeste,2024,56.56,1
Guarani das Missões,RS,Sul,2024,71.9,1
Passa e Fica,RN,Nordeste,2024,31.79,1
Miracatu,SP,Sudeste,2024,49.39,1
Pancas,ES,Sudeste,2024,80.0,1
Sousa,PB,Nordeste,2024,49.9,1
Dirce Reis,SP,Sudeste,2024,52.09,1
Luís Gomes,RN,Nordeste,2024,33.44,1
Boa Esperança,ES,Sudeste,2024,77.19,1
Alfredo Vasconcelos,MG,Sudeste,2024,73.26,1
Sem-Peixe,MG,Sudeste,2024,77.0,1
Vista Alegre,RS,Sul,2024,80.0,1
Ibiaçá,RS,Sul,2024,71.87,0
São Manoel do Paraná,PR,Sul,2024,80.0,0
Rio do Campo,SC,Sul,2024,69.94,1
Santana da Vargem,MG,Sudeste,2024,67.34,1
Quinze de Novembro,RS,Sul,2024,70.67,1
Jardim Olinda,PR,Sul,2024,54.93,1
Cerquilho,SP,Sudeste,2024,64.08,1
Itaguaçu,ES,Sudeste,2024,74.88,1
São Sebastião do Paraíso,MG,Sudeste,2024,67.85,1
Novo Cruzeiro,MG,Sudeste,2024,76.27,1
Formiga,MG,Sudeste,2024,69.05,1
Veredinha,MG,Sudeste,2024,65.08,1
São Tomás de Aquino,MG,Sudeste,2024,70.04,1
Itaipulândia,PR,Sul,2024,80.0,1
Teresina,PI,Nordeste,2024,53.41,1
Centralina,MG,Sudeste,2024,78.54,1
Monte Carmelo,MG,Sudeste,2024,66.33,1
São José dos Campos,SP,Sudeste,2024,61.18,1
Lavras,MG,Sudeste,2024,60.18,1
Cruz do Espírito Santo,PB,Nordeste,2024,60.34,0
Desterro de Entre Rios,MG,Sudeste,2024,80.0,0
Salgado Filho,PR,Sul,2024,80.0,1
Coité do Nóia,AL,Nordeste,2024,75.74,1
Alegre,ES,Sudeste,2024,69.0,1
Goianésia,GO,Centro-Oeste,2024,79.82,1
Riacho dos Machados,MG,Sudeste,2024,69.55,1
Itirapuã,SP,Sudeste,2024,74.86,1
Rafael Godeiro,RN,Nordeste,2024,37.03,1
Alto do Rodrigues,RN,Nordeste,2024,53.58,0
Teodoro Sampaio,SP,Sudeste,2024,68.95,1
Campinas,SP,Sudeste,2024,47.76,1
Nova Bandeirantes,MT,Centro-Oeste,2024,74.34,1
Coronel Freitas,SC,Sul,2024,75.16,1
Itaporanga,SP,Sudeste,2024,43.0,1
Cássia,MG,Sudeste,2024,72.14,1
Novorizonte,MG,Sudeste,2024,69.97,1
Morro Agudo de Goiás,GO,Centro-Oeste,2024,80.0,1
Cássia dos Coqueiros,SP,Sudeste,2024,69.29,1
Caturité,PB,Nordeste,2024,57.47,1
Terra Nova do Norte,MT,Centro-Oeste,2024,62.25,0
Iporanga,SP,Sudeste,2024,56.89,1
Sousa,PB,Nordeste,2024,49.9,1
Caldas,MG,Sudeste,2024,56.1,1
Faina,GO,Centro-Oeste,2024,74.61,0
Joanésia,MG,Sudeste,2024,80.0,1
Maratá,RS,Sul,2024,69.78,0
Oscar Bressane,SP,Sudeste,2024,70.12,1
Alvinópolis,MG,Sudeste,2024,54.12,1
Palmitinho,RS,Sul,2024,80.0,0
Coração de Jesus,MG,Sudeste,2024,67.95,1
Presidente Epitácio,SP,Sudeste,2024,53.56,1
Itaúna,MG,Sudeste,2024,71.43,1
Nhandeara,SP,Sudeste,2024,68.69,1
Monte Horebe,PB,Nordeste,2024,80.0,1
Goioxim,PR,Sul,2024,80.0,1
Saudades,SC,Sul,2024,80.0,1
Planaltina do Paraná,PR,Sul,2024,79.82,1
Boa Vista do Buricá,RS,Sul,2024,80.0,0
Santa Cruz do Rio Pardo,SP,Sudeste,2024,57.25,1
Indiaporã,SP,Sudeste,2024,69.58,1
Catanduvas,SC,Sul,2024,70.18,1
Pilões,RN,Nordeste,2024,67.21,0
Rolante,RS,Sul,2024,80.0,0
Olho d'Água,PB,Nordeste,2024,66.76,1
Turvânia,GO,Centro-Oeste,2024,73.74,1
Itamarati de Minas,MG,Sudeste,2024,53.26,1
Jales,SP,Sudeste,2024,59.42,1
Mantenópolis,ES,Sudeste,2024,80.0,1
Herval d'Oeste,SC,Sul,2024,57.65,1
Chiapetta,RS,Sul,2024,78.78,0
Joaçaba,SC,Sul,2024,62.61,1
Marcelino Ramos,RS,Sul,2024,74.28,1
Itariri,SP,Sudeste,2024,64.65,1
Matipó,MG,Sudeste,2024,80.0,1
Catanduva,SP,Sudeste,2024,58.62,1
Pedrinhas Paulista,SP,Sudeste,2024,71.34,0
Ervália,MG,Sudeste,2024,58.71,1
Itaúna,MG,Sudeste,2024,71.43,1
Aguaí,SP,Sudeste,2024,52.38,1
Cordeirópolis,SP,Sudeste,2024,75.28,0
Barueri,SP,Sudeste,2024,65.63,1
Alcantil,PB,Nordeste,2024,48.58,0
Alto Caparaó,MG,Sudeste,2024,80.0,1
Santa Cruz dos Milagres,PI,Nordeste,2024,57.0,1
Pedralva,MG,Sudeste,2024,55.01,1
Divino das Laranjeiras,MG,Sudeste,2024,47.5,1
Holambra,SP,Sudeste,2024,61.93,1
Cássia,MG,Sudeste,2024,72.14,1
Rio Pardo de Minas,MG,Sudeste,2024,74.39,1
Jardim do Seridó,RN,Nordeste,2024,33.95,1
Cruzeta,RN,Nordeste,2024,56.46,1
Barbacena,MG,Sudeste,2024,62.71,1
Mairiporã,SP,Sudeste,2024,59.15,1
Jaguariúna,SP,Sudeste,2024,65.65,1
Bilac,SP,Sudeste,2024,63.3,1
Jundiaí,SP,Sudeste,2024,70.94,0
Leopoldo de Bulhões,GO,Centro-Oeste,2024,78.01,0
Salto,SP,Sudeste,2024,60.17,1
Piraúba,MG,Sudeste,2024,75.54,1
Campinas do Sul,RS,Sul,2024,80.0,0
Governador Dix-Sept Rosado,RN,Nordeste,2024,61.52,0
Monteiro,PB,Nordeste,2024,59.17,1
Alvorada,TO,Norte,2024,53.11,1
Ipatinga,MG,Sudeste,2024,67.17,1
Passos,MG,Sudeste,2024,67.82,1
Teodoro Sampaio,SP,Sudeste,2024,68.95,1
Conselheiro Mairinck,PR,Sul,2024,56.22,1
Porto Feliz,SP,Sudeste,2024,74.61,0
Planalto,PR,Sul,2024,80.0,0
Parapuã,SP,Sudeste,2024,76.25,0
Ecoporanga,ES,Sudeste,2024,70.94,1
Rincão,SP,Sudeste,2024,62.42,1
Manduri,SP,Sudeste,2024,65.13,1
Bom Jesus,SC,Sul,2024,67.18,0
Grão Mogol,MG,Sudeste,2024,72.9,1
São Sebastião da Grama,SP,Sudeste,2024,67.26,1
Franca,SP,Sudeste,2024,61.42,1
Dourado,SP,Sudeste,2024,72.84,0
Aiuruoca,MG,Sudeste,2024,59.4,1
Olhos-d'Água,MG,Sudeste,2024,70.12,1
Rosana,SP,Sudeste,2024,62.92,1
Conceição do Canindé,PI,Nordeste,2024,52.61,1
Campestre,MG,Sudeste,2024,71.58,1
Braúna,SP,Sudeste,2024,80.0,0
Caiabu,SP,Sudeste,2024,50.17,1
Frutuoso Gomes,RN,Nordeste,2024,27.09,1
Vila Propício,GO,Centro-Oeste,2024,75.29,1
João Monlevade,MG,Sudeste,2024,64.07,1
Paraíso,SC,Sul,2024,80.0,1
Cândido Mota,SP,Sudeste,2024,73.87,0
Jaicós,PI,Nordeste,2024,79.14,0
Areial,PB,Nordeste,2024,80.0,0
Ribeirão Pires,SP,Sudeste,2024,66.91,1
Paula Cândido,MG,Sudeste,2024,58.13,1
Lins,SP,Sudeste,2024,75.13,1
Brejetuba,ES,Sudeste,2024,69.4,1
Sorocaba,SP,Sudeste,2024,53.15,1
Apiaí,SP,Sudeste,2024,70.29,0
Nova Veneza,SC,Sul,2024,71.23,1
