municipio,uf,meta,resultado,diferenca,ano
Inhapi,AL,67.49,27.27,-40.22,2024
Mata,RS,67.91,54.6,-13.309999999999995,2024
São Pedro do Butiá,RS,80.0,63.6,-16.4,2024
Santa Maria do Salto,MG,52.64,36.36,-16.28,2024
Muitos Capões,RS,70.55,54.8,-15.75,2024
Morro Redondo,RS,74.06,55.6,-18.46,2024
Simão Pereira,MG,14.14,48.25,34.11,2024
Barão,RS,80.0,53.5,-26.5,2024
Irani,SC,74.83,43.13,-31.699999999999996,2024
Descanso,SC,80.0,28.57,-51.43,2024
Lagoão,RS,80.0,42.9,-37.1,2024
Janduís,RN,30.69,35.71,5.02,2024
Condor,RS,80.0,85.7,5.700000000000003,2024
Bonito de Minas,MG,66.87,49.15,-17.720000000000006,2024
Urupema,SC,80.0,36.34,-43.66,2024
Juripiranga,PB,55.28,41.18,-14.100000000000001,2024
Chapada,RS,76.02,47.5,-28.519999999999996,2024
Pau D'Arco do Piauí,PI,80.0,51.85,-28.15,2024
Paim Filho,RS,79.11,53.1,-26.009999999999998,2024
Roque Gonzales,RS,76.36,60.0,-16.36,2024
Caseiros,RS,80.0,40.0,-40.0,2024
Carmo do Paranaíba,MG,71.94,90.0,18.060000000000002,2024
Angico,TO,46.41,59.12,12.71,2024
Padre Paraíso,MG,54.04,48.96,-5.079999999999998,2024
Amapá do Maranhão,MA,30.17,43.0,12.829999999999998,2024
Itinga,MG,56.85,50.73,-6.1200000000000045,2024
Palestina do Pará,PA,40.66,44.75,4.090000000000003,2024
São Martinho,SC,69.93,43.48,-26.45000000000001,2024
Ilhéus,BA,39.22,43.48,4.259999999999998,2024
Rio Bonito do Iguaçu,PR,80.0,55.72,-24.28,2024
Comendador Gomes,MG,42.41,74.3,31.89,2024
São Valério do Sul,RS,72.78,46.2,-26.58,2024
Barra Funda,RS,70.55,52.2,-18.349999999999994,2024
São Miguel do Aleixo,SE,45.06,46.34,1.2800000000000011,2024
Sagrada Família,RS,78.98,43.8,-35.18000000000001,2024
Nova Aliança do Ivaí,PR,44.57,43.75,-0.8200000000000003,2024
São Félix de Balsas,MA,49.59,44.69,-4.900000000000006,2024
Pau D'Arco,PA,55.49,48.91,-6.580000000000005,2024
Novo Tiradentes,RS,72.78,47.4,-25.380000000000003,2024
Salinas,MG,74.1,78.95,4.8500000000000085,2024
Piraquê,TO,33.29,54.55,21.259999999999998,2024
Boquim,SE,29.96,50.0,20.04,2024
Nilo Peçanha,BA,42.73,50.52,7.790000000000006,2024
Cachoeirinha,TO,34.72,64.0,29.28,2024
Marques de Souza,RS,76.49,47.8,-28.689999999999998,2024
Riqueza,SC,80.0,72.07,-7.930000000000007,2024
Penedo,AL,47.02,59.12,12.099999999999994,2024
Boa Vista do Ramos,AM,33.37,67.74,34.37,2024
Cambará do Sul,RS,63.31,54.2,-9.11,2024
Terra Alta,PA,48.0,49.88,1.8800000000000026,2024
Uirapuru,GO,45.24,66.67,21.43,2024
Ourém,PA,53.68,38.89,-14.79,2024
Cândido Godói,RS,76.2,72.2,-4.0,2024
Tuparendi,RS,80.0,55.6,-24.4,2024
Capanema,PA,64.97,53.57,-11.399999999999999,2024
Ibiaçá,RS,71.87,55.6,-16.270000000000003,2024
Boa Vista do Buricá,RS,80.0,40.0,-40.0,2024
Carlos Gomes,RS,58.77,50.0,-8.770000000000003,2024
Três Palmeiras,RS,80.0,77.8,-2.200000000000003,2024
Itatiaiuçu,MG,73.57,66.67,-6.8999999999999915,2024
Cachoeira do Arari,PA,56.72,60.0,3.280000000000001,2024
Guaporema,PR,80.0,66.67,-13.329999999999998,2024
Cumbe,SE,49.89,54.53,4.640000000000001,2024
Borda da Mata,MG,67.91,76.61,8.700000000000003,2024
Gameleiras,MG,47.75,69.63,21.879999999999995,2024
Cuparaque,MG,80.0,69.0,-11.0,2024
Igarapé-Açu,PA,39.7,70.69,30.989999999999995,2024
Ciríaco,RS,80.0,82.4,2.4000000000000057,2024
Piedade de Ponte Nova,MG,41.95,80.01,38.06,2024
Palmeira,SC,69.23,57.22,-12.010000000000005,2024
Morrinhos do Sul,RS,80.0,50.0,-30.0,2024
Vicentina,MS,67.77,57.14,-10.629999999999995,2024
Pimenteiras do Oeste,RO,58.95,57.63,-1.3200000000000003,2024
Fortaleza dos Valos,RS,80.0,72.7,-7.299999999999997,2024
Bom Jardim,MA,80.0,36.36,-43.64,2024
Anastácio,MS,34.56,54.55,19.989999999999995,2024
Benevides,PA,63.8,63.64,-0.1599999999999966,2024
Rancho Queimado,SC,73.86,81.82,7.959999999999994,2024
Kaloré,PR,80.0,77.98,-2.019999999999996,2024
Quartel Geral,MG,48.47,63.55,15.079999999999998,2024
Santa Maria do Salto,MG,52.64,52.89,0.25,2024
Chalé,MG,80.0,70.09,-9.909999999999997,2024
Castanheiras,RO,71.71,65.42,-6.289999999999992,2024
Morrinhos do Sul,RS,80.0,64.4,-15.599999999999994,2024
Muitos Capões,RS,70.55,79.0,8.450000000000003,2024
Augusto Pestana,RS,80.0,63.2,-16.799999999999997,2024
Caldazinha,GO,73.27,60.87,-12.399999999999999,2024
Victor Graeff,RS,80.0,56.3,-23.700000000000003,2024
Itaú,RN,57.42,50.0,-7.420000000000002,2024
Morrinhos do Sul,RS,80.0,75.0,-5.0,2024
São Thomé das Letras,MG,80.0,100.0,20.0,2024
Santa Rita de Minas,MG,64.4,58.94,-5.460000000000008,2024
Barra Funda,RS,70.55,53.9,-16.65,2024
São José das Missões,RS,78.67,60.4,-18.270000000000003,2024
Barra Bonita,SC,54.93,66.67,11.740000000000002,2024
Senhora do Porto,MG,52.0,56.52,4.520000000000003,2024
Jutaí,AM,43.26,59.85,16.590000000000003,2024
Cambará do Sul,RS,63.31,50.0,-13.310000000000002,2024
Vespasiano Correa,RS,80.0,46.7,-33.3,2024
Itamarati,AM,72.11,86.67,14.560000000000002,2024
São João da Mata,MG,78.4,72.0,-6.400000000000006,2024
Conceição da Barra,ES,74.67,60.0,-14.670000000000002,2024
Setubinha,MG,53.85,60.0,6.149999999999999,2024
Piraúba,MG,75.54,60.0,-15.540000000000006,2024
Carvalhos,MG,80.0,72.5,-7.5,2024
Santa Maria do Salto,MG,52.64,60.65,8.009999999999998,2024
Itapemirim,ES,64.07,73.75,9.680000000000007,2024
Pedro Osório,RS,69.69,58.8,-10.89,2024
Joaquim Felício,MG,56.95,71.38,14.429999999999993,2024
Ribeira,SP,65.71,53.85,-11.859999999999992,2024
Ibituruna,MG,63.8,83.33,19.53,2024
Ribeirópolis,SE,40.54,59.52,18.980000000000004,2024
Itaguaçu,ES,74.88,78.57,3.6899999999999977,2024
Formoso,MG,64.21,100.0,35.790000000000006,2024
Vargem Bonita,SC,66.82,87.5,20.680000000000007,2024
Catuji,MG,42.58,72.0,29.42,2024
São José do Cerrito,SC,77.0,65.03,-11.969999999999999,2024
Rancho Alegre D'Oeste,PR,78.33,56.92,-21.409999999999997,2024
Monte Azul,MG,80.0,66.67,-13.329999999999998,2024
Jaboticaba,RS,80.0,72.7,-7.299999999999997,2024
Áurea,RS,80.0,81.8,1.7999999999999972,2024
Guajará-Mirim,RO,47.82,66.03,18.21,2024
Faria Lemos,MG,21.31,69.23,47.92,2024
Bom Sucesso do Sul,PR,80.0,71.33,-8.670000000000002,2024
Colorado,RS,66.33,82.4,16.070000000000007,2024
Quedas do Iguaçu,PR,73.0,54.17,-18.83,2024
Novo Horizonte do Sul,MS,52.69,78.44,25.75,2024
São Gabriel do Oeste,MS,56.9,66.67,9.770000000000003,2024
Bom Progresso,RS,60.19,71.4,11.210000000000008,2024
São Pedro do Paraná,PR,73.2,75.0,1.7999999999999972,2024
Ariranha do Ivaí,PR,76.27,69.82,-6.450000000000003,2024
Serra Redonda,PB,21.09,85.71,64.61999999999999,2024
Gentil,RS,80.0,85.7,5.700000000000003,2024
Fraiburgo,SC,68.73,71.43,2.700000000000003,2024
Passos Maia,SC,54.31,60.0,5.689999999999998,2024
Leópolis,PR,80.0,89.7,9.700000000000003,2024
Palma,MG,34.19,75.61,41.42,2024
Colorado,RS,66.33,85.2,18.870000000000005,2024
Iúna,ES,73.2,100.0,26.799999999999997,2024
Aracitaba,MG,80.0,86.96,6.959999999999994,2024
